Landuse,Geology,DEM,Slope,Curvature,Aspect,NDVI,SPI,TWI,Dis2catchment,Dis2drainage,Dis2road,Dis2fault,X,Y,label
1,2,3,2.043849945,24.96360016,45,6498,0.9,7.3,7.402458693,126.2420155,90.13458574,621.1653665,809493.408,808959.0433,0
1,3,44,31.37590027,58.53739929,65.55599976,7684,1.114850044,2.104020119,330.0052147,450.7777309,25.53465935,1056.551409,809366.4077,809435.2942,0
1,3,19,25.89189911,42.44860077,207.8970032,7040,0.540081978,1.985649943,52.51556475,584.2746037,362.6669794,929.9513993,809747.4085,809490.8568,0
1,3,61,10.1171999,18.49699974,188.1300049,7544,-0.114082001,3.33295989,275.4421222,401.8429722,272.6083517,1505.798385,808874.2817,809594.0445,0
2,3,289,8.609800339,5.789040089,90,7080,-0.278322011,3.497200012,177.4675989,148.2896546,9.65901733,189.134913,804359.8196,810283.947,0
2,3,278,21.98719978,35.62749863,0,6359,0.702521026,2.516350031,16.3402278,513.5472325,132.8123635,391.3426679,804108.4649,811011.5526,0
2,3,443,10.1171999,37.45040131,351.8699951,7269,-0.114084996,3.33295989,50.7700463,534.8015969,50.08907781,271.0197656,804561.5648,809455.4687,0
2,3,371,17.90880013,34.69960022,51.34019852,7347,0.47983101,2.739049911,76.16262932,296.4146463,75.95823808,913.825886,803675.2088,809111.5097,0
3,3,104,15.20549965,8.449620247,248.1990051,8302,-0.039836701,2.565570116,845.183632,58.62035071,377.7398681,138.6703602,808054.0718,811519.2229,0
2,3,153,9.068200111,58.33089828,108.4349976,7600,-0.225615993,3.444489956,281.5839248,349.0456777,194.2406859,484.9124526,807175.6533,811657.4679,0
2,3,336,5.764229774,23.90169907,180,6839,-0.683735013,3.902610064,3.338054151,52.05787251,85.04262294,783.170145,805881.8383,813078.2833,0
1,2,11,2.889559984,43.69309998,270,5418,-0.683687985,5.288859844,10311.77411,797.37118,16.68628438,545.7013785,811565.276,815626.561,0
1,2,17,0,23.63260078,300,3188,0.9,7.3,9943.158621,919.4053088,26.16367533,87.63623888,811062.5667,814766.6635,0
1,2,12,26.43280029,46.37730026,113.961998,4852,0.910511017,2.3083601,10574.07867,765.6966075,44.3795578,150.5151413,810877.358,815137.0809,0
1,3,232,13.46389961,48.26779938,71.56500244,6401,0.179869995,3.039010048,10375.15868,205.4107749,48.23738782,106.0898945,811856.3183,812795.5137,0
1,3,442,0,0,300,3986,0.9,7.3,7300.172568,284.4508178,10.57438227,3.818657886,808416.728,813020.41,0
1,3,434,2.04399991,47.95880127,225,3260,0.9,7.3,5857.127413,103.866218,42.44944627,118.4586119,807903.4354,813094.6538,0
2,2,7,8.610619545,38.94380188,90,7567,-0.624798,3.1505301,4691.254649,221.9580111,85.36981531,1186.944007,810741.0973,815534.7785,0
1,3,38,10.31410027,23.56959915,33.69010162,6660,-0.094388098,3.313260078,3237.240964,23.12936963,1.687887808,444.0770137,811349.6402,814145.7132,0
3,3,458,4.562779903,53.43769836,288.4349976,7261,-0.918740988,4.137619972,2840.985483,160.7022115,12.61298324,57.69487088,808955.1562,812862.4815,0
2,3,12,4.56306982,51.104599,108.4349976,8006,0.9,7.3,3220.52117,384.6704313,12.7566381,675.492171,807751.2996,816381.4468,0
1,3,79,10.11740017,63.92409897,135,8245,0.232506007,3.679519892,4336.516424,175.5642912,93.49251861,66.08154963,810571.9681,810405.1588,0
1,3,164,10.11750031,36.96730042,135,7969,-0.460631013,2.986360073,5807.766449,494.0524101,13.91358105,270.6372906,810603.7181,810960.7849,0
1,3,20,42.87860107,47.58909988,222.7969971,6986,1.188750029,1.336979985,4750.77994,233.0445174,234.9436731,103.6387236,810937.0938,809809.8451,0
2,3,93,11.41429996,27.40679932,90,7135,0.00943491,3.209439993,2464.473199,189.6722617,7.257651076,289.1710804,810250.0827,814316.6721,0
2,3,263,13.46360016,40.23199844,251.5650024,7600,1.566140056,4.425320148,1917.276584,221.6636974,11.83479694,466.5529178,811042.4232,811498.7658,0
2,3,124,22.67169952,14.52159977,64.98310089,7510,0.38994199,2.13579011,1517.730656,401.640715,12.12673009,301.1984541,805962.1057,812043.8754,0
1,3,558,12.24870014,26.8743,54.46229935,6664,2.479929924,5.534739971,1054.383954,51.7345934,24.07740872,34.20711834,808505.837,814550.4724,0
2,3,102,12.24849987,65.05919647,54.46229935,7753,-0.264564008,2.790290117,4313.882992,58.00911543,60.7841367,1146.623736,806719.8959,813425.991,0
1,3,351,10.31340027,17.84480095,56.30989838,7520,-0.094458602,3.313329935,3837.444952,65.58372542,50.6063798,18.48735124,805141.633,810319.3792,0
3,3,91,16.95779991,62.30009842,245.5559998,7076,0.421752989,2.797120094,3068.062223,21.14953411,4.389983629,166.0226039,805459.1336,811938.6324,0
1,3,127,29.4382,51.16249847,26.56509972,7847,1.037350059,2.181519985,2503.165122,78.16005445,7.698995186,116.8700706,804332.0064,807842.8742,0
1,3,316,12.71959972,51.40930176,116.5650024,7285,0.120973997,3.097899914,2848.646851,61.42056654,17.14656122,32.83177059,806792.6363,812541.8836,0
2,1,876,18.70490074,57.7621994,206.5650024,4803,4.43844986,6.604469776,641.3639788,47.59000594,5.687172554,91.39312283,809720.3276,812138.9224,0
3,1,859,33.07490158,4.854720116,35.53770065,5354,4.941800117,5.799469948,377.6024678,186.3228662,35.41330882,660.3075144,809819.5465,812403.5063,0
2,3,627,4.562719822,41.40470123,341.5650024,7041,2.377079964,7.433469772,639.8663882,315.0395409,7.075424882,174.381992,810927.4914,812254.6778,0
1,3,578,29.96660042,39.4510994,156.8009949,7705,3.004689932,4.105999947,128.2616782,231.4345482,11.22215559,878.8906932,810315.6413,811990.094,0
1,3,724,40.82529831,43.40110016,353.2900085,3957,1.46318996,1.755679965,4544.79546,732.177297,128.150955,221.3620935,809406.1342,812535.7982,0
2,3,713,34.72109985,23.67180061,349.5090027,6668,1.242679954,1.976189971,11852.32267,613.5386738,29.60165747,1400.376998,808860.43,813924.8635,0
1,3,459,41.55540085,19.03059959,184.8990021,7197,1.14233005,1.383399963,5252.428802,621.89424,112.2422411,243.5234798,804364.0277,809184.8903,0
1,3,461,5.763840199,33.89550018,180,6779,2.574290037,7.160779953,909.0428588,365.6172179,320.913025,621.5251398,803305.6923,809311.8906,0
1,3,282,30.70859909,38.1230011,12.26480007,6929,0.741919994,1.783810019,3824.83747,371.3454041,1.903213077,166.2770045,803665.5263,809883.3917,0
1,3,14,2.044070005,15.55970001,45,6906,0.35601899,7.02173996,4184.837316,26.60716905,38.31552851,2.856182899,810544.7067,814921.0685,0
1,3,294,18.21500015,35.54489899,85.6013031,7052,1.191110015,3.414060116,3236.574085,63.62982656,146.4295856,137.1764791,804173.5273,808507.5556,0
1,3,502,22.67270088,32.50139999,205.0169983,6564,0.736563027,2.482310057,1927.19516,1.255010823,75.94076066,46.14697234,807835.368,814645.9013,0
3,1,23,12.24909973,68.01920319,234.4620056,7713,-0.264506996,2.790240049,1956.160278,608.5219476,15.57905416,123.5407416,809782.7052,816529.7384,0
3,1,153,15.93630028,1.65E-05,315,7273,1.45468998,3.961410046,4489.265514,478.8461076,150.2321702,2165.853989,810354.2064,808274.7218,0
1,3,47,0,26.25309944,300,2156,0.9,7.3,3488.31652,611.1250739,109.8743867,1004.968203,807285.4646,810292.2299,0
2,3,310,17.06719971,28.20269966,189.4620056,5996,1.52718997,3.888910055,1480.699046,234.0177674,15.28309146,471.7095962,805420.0954,812896.8517,0
1,3,515,35.68799973,13.20899963,18.43490028,8323,2.664799929,3.326659918,3115.866524,235.9191593,221.6028212,672.1741405,809234.6481,814084.1011,0
2,3,30,17.80620003,30.11120033,315,8437,0.9,7.3,3180.683541,437.4326042,14.74726718,521.3759694,802122.6868,809311.2729,0
3,3,167,36.0542984,9.25096035,326.3099976,8119,0.945398986,1.580330014,4038.478195,564.7766199,35.09419468,379.9087672,802487.8126,808144.458,0
3,3,23,32.87929916,34.18159866,231.3399963,8139,0.826554,1.699169993,834.0816602,51.5014847,48.59392517,123.6422309,803972.128,807652.332,0
1,3,256,42.94189835,22.11380005,220.6009979,8042,1.537529945,1.681339979,2299.323354,32.78552565,105.2694746,196.0081763,805583.4437,810009.7742,0
2,3,169,25.89220047,26.27510071,117.8970032,8122,0.886667013,2.332210064,117.0659987,122.3825359,115.1248397,1123.639947,806369.2578,810105.0244,0
3,3,19,25.65029907,60.80459976,176.9869995,8269,0.87588203,2.342989922,161.2031814,66.55328167,108.1324486,1890.140498,805353.2558,808342.8959,0
3,2,76,5.76473999,46.40050125,180,8214,1.714249969,6.300419807,72.51092883,77.05295435,114.1327165,1940.737817,808345.6993,808239.7082,0
3,2,72,43.96080017,38.04130173,83.99099731,8393,1.573160052,1.645720005,54.19688561,785.3532503,12.90637394,595.3887356,809163.2634,808374.646,0
3,3,132,25.14599991,53.43569946,143.7460022,8329,0.853165984,2.36571002,1.818993525,36.35575928,36.46934017,1522.786662,807575.7602,811756.0277,0
1,3,125,15.20549965,15.95330048,201.8009949,8146,0.306739986,2.912139893,6608.86523,1130.042237,29.00625932,1035.046274,805972.382,811713.6943,0
1,3,65,32.30950165,60.05599976,118.6100006,7914,0.804641008,1.721089959,5465.061133,676.4933716,2.19968325,420.1654994,805554.3395,811681.9443,0
2,3,44,10.87899971,52.28779984,246.8009949,7758,0.9,7.3,2046.193741,88.1394607,122.8760594,43.3028851,805281.6418,811857.2752,0
3,3,38,16.8477993,38.13759995,0,8111,0.414849013,2.804029942,2465.527378,77.52511356,44.61907795,654.0541082,805157.2873,811568.8788,0
2,3,245,10.31379986,50.96070099,236.3099976,8039,-0.094418898,3.313290119,0.486391471,175.0727341,3.00806471,801.6738178,807393.021,812468.4639,0
3,3,392,21.75390053,56.00180054,34.69520187,8422,0.690741003,2.528130054,14.61955708,309.4249177,196.2040644,307.8280166,809512.3377,815257.1778,0
3,3,81,16.95899963,42.5868988,24.44400024,8311,0.421822995,2.797049999,24.82697979,208.7137066,474.8840659,1333.447518,807670.834,815733.4288,0
1,3,504,40.31000137,21.47030067,337.2489929,8353,1.09841001,1.42730999,40.29160617,63.77288671,94.5211226,951.3749822,808787.3779,814765.0518,0
1,3,189,30.15460014,55.02980042,92.48960114,8299,1.066359997,2.152519941,8769.084403,514.2375224,35.41422092,89.66995708,808990.5783,810176.8149,0
2,3,92,23.81800079,42.1332016,149.0359955,7840,0.791697979,2.427180052,7749.62327,887.4641987,28.22745472,577.2369962,808249.7435,809573.5637,0
2,3,229,28.5807991,40.29050064,13.39249992,8087,1.348649979,2.563380003,6281.571043,323.9315061,5.554218152,855.9243939,811136.5188,813564.9766,0
3,3,248,27.94910049,55.27479935,87.2736969,8155,0.975633979,2.243240118,3240.666592,35.45420679,77.26418823,360.4441339,810120.5168,813570.2683,0
2,3,423,28.98859978,8.314249992,59.9314003,8227,0.672363997,1.853369951,11614.1167,639.5647762,124.0534871,1481.11373,810755.5181,812787.1,0
3,3,190,35.52009964,39.98669815,81.86990356,8023,1.272320032,1.946560025,2796.547422,348.1112348,37.95964737,1160.354042,810043.7875,815271.0133,0
2,3,449,16.95770073,44.98519897,204.4440002,7844,1.520359993,3.895740032,2143.795162,601.5435269,16.60281117,791.8021983,809858.5788,811593.2976,0
1,2,168,35.03929901,25.34589958,329.743988,7710,2.353130102,3.062969923,1719.135408,146.4488027,18.95244592,90.94146307,808437.9949,816095.7764,0
2,3,330,20.17569923,33.95980072,15.94540024,7356,0.608259976,2.610620022,1465.247547,86.2607575,0.381779426,1232.233049,811359.0008,812878.4366,0
3,3,178,37.6692009,18.38430023,281.3099976,7859,1.004130006,1.521600008,84.16725975,44.72082302,84.83030626,78.00984142,802532.4831,809110.7624,0
2,3,204,33.07429886,6.099750042,234.4620056,4766,0.834007978,1.691720009,5682.050666,564.5683646,12.62503011,841.7306006,803294.4847,811269.7667,0
3,3,172,30.4822998,27.14839935,120.9639969,7602,1.079480052,2.139400005,2543.834405,22.07495369,47.92601325,36.24012563,810110.165,814868.1072,0
2,2,244,32.75859833,8.276240349,348.6900024,7966,1.168499947,2.050369978,859.1994704,65.48548785,1.679693763,324.9794778,809496.3304,815608.942,0
2,3,302,23.54109955,44.08879852,280.0079956,7474,2.97578001,4.637539864,5272.864355,612.7375956,42.63116669,783.7550279,808310.9947,815333.7748,0
